t,x(t)
0.0,0.0
1.0,0.1104241661634826
2.0,0.21736781224212187
3.0,0.3209189795421019
4.0,0.42116384586359423
5.0,0.5181867592977345
6.0,0.6120702715120072
7.0,0.7028951705225499
8.0,0.7907405129665974
9.0,0.8756836558703274
10.0,0.9578002879316339
11.0,1.0371644603143388
12.0,1.1138486169601265
13.0,1.187923624431281
14.0,1.2594588012827113
15.0,1.3285219469666039
16.0,1.395179370290256
17.0,1.4594959174147402
18.0,1.5215349994081464
19.0,1.5813586193669706
20.0,1.639027399090075
21.0,1.694600605337293
22.0,1.7481361756520024
23.0,1.7996907437750913
24.0,1.8493196646399332
25.0,1.897077038963708
26.0,1.9430157374344412
27.0,1.9871874244983552
28.0,2.0296425817618022
29.0,2.0704305310003823
30.0,2.109599456787106
31.0,2.1471964287478817
32.0,2.1832674234391005
33.0,2.217857345862706
34.0,2.2510100506184743
35.0,2.282768362696607
36.0,2.3131740979196946
37.0,2.3422680830401466
38.0,2.3700901754869594
39.0,2.3966792827814163
40.0,2.42207338161702
41.0,2.4463095366073584
42.0,2.4694239187133715
43.0,2.491451823349219
44.0,2.512427688171288
45.0,2.53238511055685
46.0,2.5513568647784233
47.0,2.569374918869846
48.0,2.5864704512000776
49.0,2.602673866748712
50.0,2.618014813095547
51.0,2.632522196120623
52.0,2.64622419542538
53.0,2.6591482794762413
54.0,2.671321220472169
55.0,2.682769108948441
56.0,2.693517368108153
57.0,2.7035907678970026
58.0,2.7130134388197367
59.0,2.721808885501892
60.0,2.729999999999896
61.0,2.7376090748699697
62.0,2.744657815989794
63.0,2.751167355143733
64.0,2.7571582623710698
65.0,2.762650558086756
66.0,2.767663724968635
67.0,2.7722167196245264
68.0,2.7763279840368438
69.0,2.7800154567893904
70.0,2.783296584080872
71.0,2.7861883305279265
72.0,2.7887071897597857
73.0,2.7908691948096593
74.0,2.792689928305494
75.0,2.794184532463476
76.0,2.795367718886144
77.0,2.7962537781700987
78.0,2.796856589327574
79.0,2.7971896290190172
80.0,2.7972659806072575
81.0,2.797098343032378
82.0,2.796699039509345
83.0,2.796080026054096
84.0,2.7952528998398702
85.0,2.7942289073848827
86.0,2.7930189525779987
87.0,2.7916336045419197
88.0,2.7900831053366315
89.0,2.7883773775104626
90.0,2.786526031493966
91.0,2.7845383728466078
92.0,2.782423409353404
93.0,2.780189857978785
94.0,2.777846151675482
95.0,2.775400446054956
96.0,2.772860625919833
97.0,2.7702343116621435
98.0,2.7675288655273746
99.0,2.7647513977508784
100.0,2.76190877256341
101.0,2.759007614074995
102.0,2.7560543120329823
103.0,2.7530550274600274
104.0,2.750015698175537
105.0,2.7469420441983194
106.0,2.7438395730365
107.0,2.7407135848662123
108.0,2.7375691775998736
109.0,2.734411251846764
110.0,2.731244515769479
111.0,2.7280734898357566
112.0,2.7249025114694754
113.0,2.7217357396025434
114.0,2.718577159129244
115.0,2.7154305852654517
116.0,2.712299667814186
117.0,2.70918789533975
118.0,2.706098599252192
119.0,2.703034957803746
120.0,2.6999999999998137
121.0,2.6969966094246325
122.0,2.6940275279859276
123.0,2.691095359577484
124.0,2.6882025736631263
125.0,2.6853515087837443
126.0,2.6825443759881193
127.0,2.679783262189394
128.0,2.6770701334499214
129.0,2.674406838194123
130.0,2.6717951103529662
131.0,2.66923657243972
132.0,2.66673273855973
133.0,2.6642850173555233
134.0,2.661894714887676
135.0,2.6595630374548174
136.0,2.6572910943517214
137.0,2.6550799005689636
138.0,2.6529303794345322
139.0,2.650843365198409
140.0,2.6488196055627533
141.0,2.6468597641566096
142.0,2.644964422959656
143.0,2.643134084672878
144.0,2.6413691750397574
145.0,2.639670045118017
146.0,2.6380369735035716
147.0,2.6364701685075342
148.0,2.6349697702873827
149.0,2.6335358529336705
150.0,2.6321684265133833
151.0,2.630867439070153
152.0,2.629632778583915
153.0,2.6284642748892755
154.0,2.627361701554952
155.0,2.626324777724521
156.0,2.6253531699196757
157.0,2.6244464938069623
158.0,2.623604315928504
159.0,2.6228261553983203
160.0,2.6221114855644165
